id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,92,2020,euphoric;uplifting
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,78,2022,nostalgic;relaxing
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,65,2019,aggressive;energetic
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,72,2023,peaceful;introspective
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,88,2021,motivational;aggressive
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,54,2022,meditative;ethereal
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,71,2018,sophisticated;warm
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,81,2020,moody;nostalgic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,76,2023,meditative;concentrating
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,85,2021,euphoric;warm
11,Thunderstorm Blues,Blue Ridge,blues,sad,0.35,88,0.38,0.42,0.82,58,2015,melancholic;soulful
12,Neon Nights,Synth City,electronic,intense,0.88,140,0.62,0.85,0.08,79,2022,aggressive;euphoric
13,Forest Path,Nature Sounds,ambient,chill,0.22,55,0.72,0.35,0.95,61,2021,peaceful;natural
14,Broken Dreams,Shadow Lane,indie,sad,0.45,95,0.35,0.58,0.78,68,2019,melancholic;introspective
15,Summer Festival,Beach Vibes,pop,happy,0.85,125,0.88,0.82,0.22,91,2023,euphoric;energetic
16,Dark Paradise,Gothic Echo,alternative,intense,0.75,130,0.40,0.72,0.15,73,2020,aggressive;mysterious
17,Acoustic Morning,Soft Strings,folk,relaxed,0.30,72,0.76,0.48,0.94,64,2022,peaceful;warm
18,Electric Pulse,Voltage,electronic,intense,0.96,165,0.55,0.91,0.02,84,2023,aggressive;energetic
19,Starlight Waltz,Classical Dreams,classical,happy,0.45,100,0.82,0.62,0.89,66,2018,euphoric;sophisticated
20,Urban Beats,City Groove,hip-hop,intense,0.87,110,0.58,0.88,0.12,82,2022,aggressive;energetic
21,Sunset Serenity,Evening Choir,gospel,happy,0.55,92,0.91,0.65,0.85,69,2020,euphoric;uplifting
22,Retro Wave,80s Dream,synthwave,happy,0.80,128,0.75,0.80,0.18,77,1985,nostalgic;euphoric
